iter,train_score,val_score,val_merit,saved
1,0.17557847499847412,0.17330047488212585,0.17330047488212585,1
100,0.10855138301849365,0.10935874283313751,0.10935874283313751,1
200,0.10767016559839249,0.10897514224052429,0.10897514224052429,1
300,0.11184419691562653,0.11224308609962463,0.11224308609962463,0
400,0.11111371964216232,0.10739825665950775,0.10739825665950775,1
500,0.11507351696491241,0.11026903986930847,0.11026903986930847,0
600,0.11098678410053253,0.10465914011001587,0.10465914011001587,1
700,0.11021649837493896,0.11051058769226074,0.11051058769226074,0
800,0.10758950561285019,0.11097012460231781,0.11097012460231781,0
900,0.10887989401817322,0.111875981092453,0.111875981092453,0
1000,0.11400134116411209,0.1067640483379364,0.1067640483379364,0
1100,0.1115889847278595,0.10785979777574539,0.10785979777574539,0
1200,0.10620522499084473,0.10678999125957489,0.10678999125957489,0
1300,0.11483895778656006,0.11309390515089035,0.11309390515089035,0
1400,0.10817761719226837,0.11207373440265656,0.11207373440265656,0
1500,0.10268445312976837,0.11279448866844177,0.11279448866844177,0
1600,0.10795385390520096,0.10656832158565521,0.10656832158565521,0
1700,0.10751514136791229,0.11028482019901276,0.11028482019901276,0
1800,0.1063256710767746,0.10735860466957092,0.10735860466957092,0
1900,0.10989674925804138,0.10619697719812393,0.10619697719812393,0
2000,0.11254937946796417,0.10846345126628876,0.10846345126628876,0
2100,0.10999509692192078,0.10644222795963287,0.10644222795963287,0
2200,0.10869452357292175,0.10851051658391953,0.10851051658391953,0
2300,0.105250783264637,0.10632205754518509,0.10632205754518509,0
2400,0.10827520489692688,0.10559655725955963,0.10559655725955963,0
2500,0.11348655819892883,0.10973890125751495,0.10973890125751495,0
2600,0.10089313983917236,0.10879766941070557,0.10879766941070557,0
2700,0.1090959757566452,0.1149919182062149,0.1149919182062149,0
2800,0.11362944543361664,0.11503694951534271,0.11503694951534271,0
2900,0.10889766365289688,0.10925058275461197,0.10925058275461197,0
3000,0.10232125222682953,0.11009666323661804,0.11009666323661804,0
