method,mean_rel_error,std_rel_error,median_rel_error,mean_merit,wall_time,dominant_B_calls
plain-FBHF,0.26525813341140747,0.011037462390959263,0.2673674523830414,0.05915411561727524,0.8043476790189743,400.0
fixed-warped-FBHF,7.826894943718798e-06,4.390855963265494e-07,7.88092893344583e-06,4.944741931467433e-07,2.282774120569229,492.84375
Tseng-FBF,0.34832704067230225,0.012318706139922142,0.34991806745529175,0.081184983253479,0.2261086106300354,400.0
extragradient,0.34833231568336487,0.012316837906837463,0.34992319345474243,0.08122636377811432,0.22189657390117645,400.0
FRB,0.510983407497406,0.012846467085182667,0.512903094291687,0.12774333357810974,0.11898504197597504,201.0
learned-warped-FBHF,0.029299363493919373,0.001880389405414462,0.029299911111593246,0.004953489173203707,1.0380866676568985,400.0
