tau,s,validation_mean_merit
0.23301806722104546,0.23301806722104546,0.001188419060781598
0.23301806722104546,0.3328829531729221,0.00117501150816679
0.23301806722104546,0.4660361344420909,0.0011639510048553348
0.23301806722104546,0.6657659063458442,0.0011495063081383705
0.23301806722104546,0.9320722688841818,0.0011325436644256115
0.23301806722104546,1.3315318126916884,0.001111143035814166
0.3328829531729221,0.23301806722104546,0.00015092632384039462
0.3328829531729221,0.3328829531729221,0.00014857659698463976
0.3328829531729221,0.4660361344420909,0.00014673543046228588
0.3328829531729221,0.6657659063458442,0.00014439823280554265
0.3328829531729221,0.9320722688841818,0.00014176854165270925
0.3328829531729221,1.3315318126916884,0.00013880676124244928
0.4660361344420909,0.23301806722104546,9.44193743634969e-06
0.4660361344420909,0.3328829531729221,9.1782658273587e-06
0.4660361344420909,0.4660361344420909,9.006226719066035e-06
0.4660361344420909,0.6657659063458442,8.900710781745147e-06
0.4660361344420909,0.9320722688841818,8.72540294949431e-06
0.4660361344420909,1.3315318126916884,8.642650755064096e-06
0.6657659063458442,0.23301806722104546,6.108818979555508e-07
0.6657659063458442,0.3328829531729221,6.299628694250714e-07
0.6657659063458442,0.4660361344420909,6.459551968873711e-07
0.6657659063458442,0.6657659063458442,7.423785177707032e-07
0.6657659063458442,0.9320722688841818,6.750048555659305e-07
0.6657659063458442,1.3315318126916884,1.0055294978883467e-06
0.9320722688841818,0.23301806722104546,5.389888428908307e-07
0.9320722688841818,0.3328829531729221,6.332899715744134e-07
0.9320722688841818,0.4660361344420909,6.184112635310157e-07
0.9320722688841818,0.6657659063458442,7.025035984042916e-07
0.9320722688841818,0.9320722688841818,6.77053094477742e-07
0.9320722688841818,1.3315318126916884,9.768921245267848e-07
1.3315318126916884,0.23301806722104546,5.541046448342968e-07
1.3315318126916884,0.3328829531729221,6.236311946850037e-07
1.3315318126916884,0.4660361344420909,6.405410886145546e-07
1.3315318126916884,0.6657659063458442,7.401389439110062e-07
1.3315318126916884,0.9320722688841818,6.903172220518172e-07
1.3315318126916884,1.3315318126916884,1.0298903134753346e-06
