data,blur,noise,method,oracle_K,wall_time_K,err_K_mean,err_K_std,err_K_median,prox,B,C,network,backtracks
real,train,train,plain-FBHF,4000,1.2251578718423843,0.0009834350656774404,0.0010740930200475501,0.0005685410578735173,1000,2000,1000,0,0
real,train,train,line-search-FBHF,4526,1.7528262324631214,0.0009123878586194678,0.0010871986048610605,0.0005089208716526628,1263,2263,1000,0,263
real,train,train,fixed-precond,4000,1.239590622484684,0.0003593106922608058,0.0004458914008537901,0.00024997576838359237,1000,2000,1000,0,0
real,train,train,learned-warped-bv,4000,6.525978039950132,0.0002741750182622127,0.0004215535492721883,0.00015937388525344431,1000,2000,1000,1000,0
real,train,train,Condat-Vu/PDHG,3999,1.2057125195860863,0.000235612608264546,0.0004444610190065916,9.477038838667795e-05,1333,1333,1333,0,0
