c,mean,median,method,std
0.25,3.593106922608058,2.4997576838359237,fixed-precond,4.458914008537901
0.25,2.741750182622127,1.5937388525344431,learned-warped-bv,4.215535492721883
0.5,3.593106922608058,2.4997576838359237,fixed-precond,4.458914008537901
0.5,2.7230555849655502,1.655077576288022,learned-warped-bv,4.263062090700676
0.9,3.593106922608058,2.4997576838359237,fixed-precond,4.458914008537901
0.9,2.7265774843954205,1.6535881150048226,learned-warped-bv,4.278330476501845
