data,blur,noise,mode,c,method,image_index,oracle_K,network_forward_K,backtracks_K,rel_primal_error_K
real,0.75,high,bv,0.5,plain-FBHF,22,4000,0,0,3.855219983961433e-05
real,0.75,high,bv,0.5,plain-FBHF,23,4000,0,0,0.00016109508578665555
real,0.75,high,bv,0.5,plain-FBHF,24,4000,0,0,6.949526868993416e-05
real,0.75,high,bv,0.5,plain-FBHF,25,4000,0,0,0.00010381351603427902
real,0.75,high,bv,0.5,plain-FBHF,26,4000,0,0,5.141718065715395e-05
real,0.75,high,bv,0.5,plain-FBHF,27,4000,0,0,5.0202685088152066e-05
real,0.75,high,bv,0.5,plain-FBHF,28,4000,0,0,0.0001084026662283577
real,0.75,high,bv,0.5,plain-FBHF,29,4000,0,0,4.237710891175084e-05
real,0.75,high,bv,0.5,plain-FBHF,30,4000,0,0,4.649380571208894e-05
real,0.75,high,bv,0.5,plain-FBHF,31,4000,0,0,9.664105164119974e-05
real,0.75,high,bv,0.5,plain-FBHF,32,4000,0,0,6.671321898465976e-05
real,0.75,high,bv,0.5,plain-FBHF,33,4000,0,0,5.525234155356884e-05
real,0.75,high,bv,0.5,plain-FBHF,34,4000,0,0,4.708558844868094e-05
real,0.75,high,bv,0.5,plain-FBHF,35,4000,0,0,8.411239105043933e-05
real,0.75,high,bv,0.5,plain-FBHF,36,4000,0,0,4.260022978996858e-05
real,0.75,high,bv,0.5,plain-FBHF,37,4000,0,0,5.4509862820850685e-05
real,0.75,high,bv,0.5,plain-FBHF,38,4000,0,0,7.534825272159651e-05
real,0.75,high,bv,0.5,plain-FBHF,39,4000,0,0,4.3911706598009914e-05
real,0.75,high,bv,0.5,plain-FBHF,40,4000,0,0,5.094920925330371e-05
real,0.75,high,bv,0.5,plain-FBHF,41,4000,0,0,7.592874317197129e-05
real,0.75,high,bv,0.5,plain-FBHF,42,4000,0,0,3.1664672860642895e-05
real,0.75,high,bv,0.5,plain-FBHF,43,4000,0,0,4.676806565839797e-05
real,0.75,high,bv,0.5,plain-FBHF,44,4000,0,0,4.626953523256816e-05
real,0.75,high,bv,0.5,plain-FBHF,45,4000,0,0,3.464653855189681e-05
real,0.75,high,bv,0.5,plain-FBHF,46,4000,0,0,4.592273762682453e-05
real,0.75,high,bv,0.5,plain-FBHF,47,4000,0,0,3.504366395645775e-05
real,0.75,high,bv,0.5,plain-FBHF,48,4000,0,0,5.188039722270332e-05
real,0.75,high,bv,0.5,plain-FBHF,49,4000,0,0,5.416438580141403e-05
real,0.75,high,bv,0.5,plain-FBHF,50,4000,0,0,9.337795927422121e-05
real,0.75,high,bv,0.5,plain-FBHF,51,4000,0,0,5.689868703484535e-05
real,0.75,high,bv,0.5,plain-FBHF,52,4000,0,0,4.908831397187896e-05
real,0.75,high,bv,0.5,plain-FBHF,53,4000,0,0,5.0516373448772356e-05
real,0.75,high,bv,0.5,plain-FBHF,54,4000,0,0,0.00011735779844457284
real,0.75,high,bv,0.5,plain-FBHF,55,4000,0,0,5.142338341102004e-05
real,0.75,high,bv,0.5,plain-FBHF,56,4000,0,0,0.00010941737855318934
real,0.75,high,bv,0.5,plain-FBHF,57,4000,0,0,3.4459510061424226e-05
real,0.75,high,bv,0.5,plain-FBHF,58,4000,0,0,3.1477713491767645e-05
real,0.75,high,bv,0.5,plain-FBHF,59,4000,0,0,5.733934085583314e-05
real,0.75,high,bv,0.5,plain-FBHF,60,4000,0,0,3.548317909007892e-05
real,0.75,high,bv,0.5,plain-FBHF,61,4000,0,0,3.5528253647498786e-05
real,0.75,high,bv,0.5,plain-FBHF,62,4000,0,0,3.1884505006019026e-05
real,0.75,high,bv,0.5,plain-FBHF,63,4000,0,0,4.1768398659769446e-05
real,0.75,high,bv,0.5,line-search-FBHF,0,4526,0,263,4.69503947897465e-06
real,0.75,high,bv,0.5,line-search-FBHF,1,4526,0,263,5.887533916393295e-06
real,0.75,high,bv,0.5,line-search-FBHF,2,4526,0,263,5.370106919144746e-06
real,0.75,high,bv,0.5,line-search-FBHF,3,4526,0,263,4.777458343596663e-06
real,0.75,high,bv,0.5,line-search-FBHF,4,4526,0,263,5.784790118923411e-06
real,0.75,high,bv,0.5,line-search-FBHF,5,4526,0,263,4.252684448147193e-06
real,0.75,high,bv,0.5,line-search-FBHF,6,4526,0,263,5.952647370577324e-06
real,0.75,high,bv,0.5,line-search-FBHF,7,4526,0,263,5.61840124646551e-06
real,0.75,high,bv,0.5,line-search-FBHF,8,4526,0,263,1.013701330521144e-05
real,0.75,high,bv,0.5,line-search-FBHF,9,4526,0,263,4.785873443324817e-06
real,0.75,high,bv,0.5,line-search-FBHF,10,4526,0,263,5.43136502528796e-06
real,0.75,high,bv,0.5,line-search-FBHF,11,4526,0,263,6.81468918628525e-06
real,0.75,high,bv,0.5,line-search-FBHF,12,4526,0,263,5.0773801376635674e-06
real,0.75,high,bv,0.5,line-search-FBHF,13,4526,0,263,7.525151886511594e-06
real,0.75,high,bv,0.5,line-search-FBHF,14,4526,0,263,6.152804871817352e-06
real,0.75,high,bv,0.5,line-search-FBHF,15,4526,0,263,5.8626947065931745e-06
real,0.75,high,bv,0.5,line-search-FBHF,16,4526,0,263,9.052563655131962e-06
real,0.75,high,bv,0.5,line-search-FBHF,17,4526,0,263,3.598890089051565e-06
real,0.75,high,bv,0.5,line-search-FBHF,18,4526,0,263,4.448137133294949e-06
real,0.75,high,bv,0.5,line-search-FBHF,19,4526,0,263,2.1715419279644266e-05
real,0.75,high,bv,0.5,line-search-FBHF,20,4526,0,263,7.894318514445331e-06
real,0.75,high,bv,0.5,line-search-FBHF,21,4526,0,263,1.3332383787201252e-05
real,0.75,high,bv,0.5,line-search-FBHF,22,4526,0,263,4.597895895130932e-06
real,0.75,high,bv,0.5,line-search-FBHF,23,4526,0,263,1.2141524166509043e-05
real,0.75,high,bv,0.5,line-search-FBHF,24,4526,0,263,1.3286770808917936e-05
real,0.75,high,bv,0.5,line-search-FBHF,25,4526,0,263,1.0273461157339625e-05
real,0.75,high,bv,0.5,line-search-FBHF,26,4526,0,263,6.537036369991256e-06
real,0.75,high,bv,0.5,line-search-FBHF,27,4526,0,263,5.658329882862745e-06
real,0.75,high,bv,0.5,line-search-FBHF,28,4526,0,263,1.014266672427766e-05
real,0.75,high,bv,0.5,line-search-FBHF,29,4526,0,263,5.032349235989386e-06
real,0.75,high,bv,0.5,line-search-FBHF,30,4526,0,263,4.4879293454869185e-06
real,0.75,high,bv,0.5,line-search-FBHF,31,4526,0,263,8.834879736241419e-06
real,0.75,high,bv,0.5,line-search-FBHF,32,4526,0,263,9.7568672572379e-06
real,0.75,high,bv,0.5,line-search-FBHF,33,4526,0,263,7.047876806609565e-06
real,0.75,high,bv,0.5,line-search-FBHF,34,4526,0,263,6.104396561568137e-06
real,0.75,high,bv,0.5,line-search-FBHF,35,4526,0,263,9.81045377557166e-06
real,0.75,high,bv,0.5,line-search-FBHF,36,4526,0,263,5.644670181936817e-06
real,0.75,high,bv,0.5,line-search-FBHF,37,4526,0,263,6.635546014877036e-06
real,0.75,high,bv,0.5,line-search-FBHF,38,4526,0,263,6.5092090153484605e-06
real,0.75,high,bv,0.5,line-search-FBHF,39,4526,0,263,4.600447482516756e-06
real,0.75,high,bv,0.5,line-search-FBHF,40,4526,0,263,6.637962087552296e-06
real,0.75,high,bv,0.5,line-search-FBHF,41,4526,0,263,8.670476745464839e-06
real,0.75,high,bv,0.5,line-search-FBHF,42,4526,0,263,4.8263395910908e-06
real,0.75,high,bv,0.5,line-search-FBHF,43,4526,0,263,6.18069998381543e-06
real,0.75,high,bv,0.5,line-search-FBHF,44,4526,0,263,6.019101419951767e-06
real,0.75,high,bv,0.5,line-search-FBHF,45,4526,0,263,4.921619620290585e-06
real,0.75,high,bv,0.5,line-search-FBHF,46,4526,0,263,6.811772436776664e-06
real,0.75,high,bv,0.5,line-search-FBHF,47,4526,0,263,4.9239120016864035e-06
real,0.75,high,bv,0.5,line-search-FBHF,48,4526,0,263,5.206787136557978e-06
real,0.75,high,bv,0.5,line-search-FBHF,49,4526,0,263,7.321732482523657e-06
real,0.75,high,bv,0.5,line-search-FBHF,50,4526,0,263,8.126998181978706e-06
real,0.75,high,bv,0.5,line-search-FBHF,51,4526,0,263,7.58985834181658e-06
real,0.75,high,bv,0.5,line-search-FBHF,52,4526,0,263,7.6216024353925604e-06
real,0.75,high,bv,0.5,line-search-FBHF,53,4526,0,263,6.245694748940878e-06
real,0.75,high,bv,0.5,line-search-FBHF,54,4526,0,263,1.581504511705134e-05
real,0.75,high,bv,0.5,line-search-FBHF,55,4526,0,263,5.364138814911712e-06
real,0.75,high,bv,0.5,line-search-FBHF,56,4526,0,263,1.1260471183049958e-05
real,0.75,high,bv,0.5,line-search-FBHF,57,4526,0,263,4.412375346873887e-06
real,0.75,high,bv,0.5,line-search-FBHF,58,4526,0,263,3.7283971323631704e-06
real,0.75,high,bv,0.5,line-search-FBHF,59,4526,0,263,6.983459570619743e-06
real,0.75,high,bv,0.5,line-search-FBHF,60,4526,0,263,4.264185008651111e-06
real,0.75,high,bv,0.5,line-search-FBHF,61,4526,0,263,3.4042438983306056e-06
real,0.75,high,bv,0.5,line-search-FBHF,62,4526,0,263,3.944423951907083e-06
real,0.75,high,bv,0.5,line-search-FBHF,63,4526,0,263,5.359364422474755e-06
real,0.75,high,bv,0.5,fixed-precond,0,4000,0,0,7.546367851318792e-05
real,0.75,high,bv,0.5,fixed-precond,1,4000,0,0,6.951622344786301e-05
real,0.75,high,bv,0.5,fixed-precond,2,4000,0,0,8.241536852438003e-05
real,0.75,high,bv,0.5,fixed-precond,3,4000,0,0,7.588614971609786e-05
real,0.75,high,bv,0.5,fixed-precond,4,4000,0,0,7.54497159505263e-05
real,0.75,high,bv,0.5,fixed-precond,5,4000,0,0,5.83576547796838e-05
real,0.75,high,bv,0.5,fixed-precond,6,4000,0,0,7.449712575180456e-05
real,0.75,high,bv,0.5,fixed-precond,7,4000,0,0,7.856189040467143e-05
real,0.75,high,bv,0.5,fixed-precond,8,4000,0,0,0.00013920328638050705
real,0.75,high,bv,0.5,fixed-precond,9,4000,0,0,7.331098458962515e-05
real,0.75,high,bv,0.5,fixed-precond,10,4000,0,0,7.197689410531893e-05
real,0.75,high,bv,0.5,fixed-precond,11,4000,0,0,0.00010514513269299641
real,0.75,high,bv,0.5,fixed-precond,12,4000,0,0,8.318132313434035e-05
real,0.75,high,bv,0.5,fixed-precond,13,4000,0,0,0.00012156430602772161
real,0.75,high,bv,0.5,fixed-precond,14,4000,0,0,0.00014020301750861108
real,0.75,high,bv,0.5,fixed-precond,15,4000,0,0,7.054601155687124e-05
real,0.75,high,bv,0.5,fixed-precond,16,4000,0,0,7.994732004590333e-05
real,0.75,high,bv,0.5,fixed-precond,17,4000,0,0,5.5515800340799615e-05
real,0.75,high,bv,0.5,fixed-precond,18,4000,0,0,7.177201769081876e-05
real,0.75,high,bv,0.5,fixed-precond,19,4000,0,0,7.583552360301837e-05
real,0.75,high,bv,0.5,fixed-precond,20,4000,0,0,0.00010575854685157537
real,0.75,high,bv,0.5,fixed-precond,21,4000,0,0,5.109694029670209e-05
real,0.75,high,bv,0.5,fixed-precond,22,4000,0,0,6.0782142099924386e-05
real,0.75,high,bv,0.5,fixed-precond,23,4000,0,0,0.0002374057803535834
real,0.75,high,bv,0.5,fixed-precond,24,4000,0,0,0.00010486986138857901
real,0.75,high,bv,0.5,fixed-precond,25,4000,0,0,0.00017480946553405374
real,0.75,high,bv,0.5,fixed-precond,26,4000,0,0,7.955254841363057e-05
real,0.75,high,bv,0.5,fixed-precond,27,4000,0,0,7.601085235364735e-05
real,0.75,high,bv,0.5,fixed-precond,28,4000,0,0,0.0001829001121222973
real,0.75,high,bv,0.5,fixed-precond,29,4000,0,0,6.642882362939417e-05
real,0.75,high,bv,0.5,fixed-precond,30,4000,0,0,7.771044329274446e-05
real,0.75,high,bv,0.5,fixed-precond,31,4000,0,0,0.00014300626935437322
real,0.75,high,bv,0.5,fixed-precond,32,4000,0,0,0.00010834708518814296
real,0.75,high,bv,0.5,fixed-precond,33,4000,0,0,9.134171705227345e-05
real,0.75,high,bv,0.5,fixed-precond,34,4000,0,0,7.458467734977603e-05
real,0.75,high,bv,0.5,fixed-precond,35,4000,0,0,0.00014022922550793737
real,0.75,high,bv,0.5,fixed-precond,36,4000,0,0,6.794302316848189e-05
real,0.75,high,bv,0.5,fixed-precond,37,4000,0,0,8.322337089339271e-05
real,0.75,high,bv,0.5,fixed-precond,38,4000,0,0,0.00011763426300603896
real,0.75,high,bv,0.5,fixed-precond,39,4000,0,0,7.85156516940333e-05
real,0.75,high,bv,0.5,fixed-precond,40,4000,0,0,8.614204853074625e-05
real,0.75,high,bv,0.5,fixed-precond,41,4000,0,0,0.00012576841982081532
real,0.75,high,bv,0.5,fixed-precond,42,4000,0,0,4.891880234936252e-05
real,0.75,high,bv,0.5,fixed-precond,43,4000,0,0,7.364607154158875e-05
real,0.75,high,bv,0.5,fixed-precond,44,4000,0,0,7.196221122285351e-05
real,0.75,high,bv,0.5,fixed-precond,45,4000,0,0,5.146998228156008e-05
real,0.75,high,bv,0.5,fixed-precond,46,4000,0,0,7.19308081897907e-05
real,0.75,high,bv,0.5,fixed-precond,47,4000,0,0,5.5520617024740204e-05
real,0.75,high,bv,0.5,fixed-precond,48,4000,0,0,8.383858221350238e-05
real,0.75,high,bv,0.5,fixed-precond,49,4000,0,0,8.537018584320322e-05
real,0.75,high,bv,0.5,fixed-precond,50,4000,0,0,0.00014627468772232533
real,0.75,high,bv,0.5,fixed-precond,51,4000,0,0,9.050586231751367e-05
real,0.75,high,bv,0.5,fixed-precond,52,4000,0,0,7.415885193040594e-05
real,0.75,high,bv,0.5,fixed-precond,53,4000,0,0,7.875164010329172e-05
real,0.75,high,bv,0.5,fixed-precond,54,4000,0,0,0.00016101110668387264
real,0.75,high,bv,0.5,fixed-precond,55,4000,0,0,8.59355423017405e-05
real,0.75,high,bv,0.5,fixed-precond,56,4000,0,0,0.0001763499021762982
real,0.75,high,bv,0.5,fixed-precond,57,4000,0,0,5.309570406097919e-05
real,0.75,high,bv,0.5,fixed-precond,58,4000,0,0,4.8636731662554666e-05
real,0.75,high,bv,0.5,fixed-precond,59,4000,0,0,9.076351125258952e-05
real,0.75,high,bv,0.5,fixed-precond,60,4000,0,0,6.166553066577762e-05
real,0.75,high,bv,0.5,fixed-precond,61,4000,0,0,5.846336716786027e-05
real,0.75,high,bv,0.5,fixed-precond,62,4000,0,0,4.607063965522684e-05
real,0.75,high,bv,0.5,fixed-precond,63,4000,0,0,6.685310654575005e-05
real,0.75,high,bv,0.5,learned-warped-bv-c0.5,0,4000,1000,0,3.869326974381693e-05
real,0.75,high,bv,0.5,learned-warped-bv-c0.5,1,4000,1000,0,3.865911639877595e-05
real,0.75,high,bv,0.5,learned-warped-bv-c0.5,2,4000,1000,0,4.185403304290958e-05
real,0.75,high,bv,0.5,learned-warped-bv-c0.5,3,4000,1000,0,3.565925726434216e-05
real,0.75,high,bv,0.5,learned-warped-bv-c0.5,4,4000,1000,0,4.090276706847362e-05
real,0.75,high,bv,0.5,learned-warped-bv-c0.5,5,4000,1000,0,2.9358539904933423e-05
real,0.75,high,bv,0.5,learned-warped-bv-c0.5,6,4000,1000,0,3.7943380448268726e-05
real,0.75,high,bv,0.5,learned-warped-bv-c0.5,7,4000,1000,0,3.938757799915038e-05
real,0.75,high,bv,0.5,learned-warped-bv-c0.5,8,4000,1000,0,6.690775626339018e-05
real,0.75,high,bv,0.5,learned-warped-bv-c0.5,9,4000,1000,0,4.099534635315649e-05
real,0.75,high,bv,0.5,learned-warped-bv-c0.5,10,4000,1000,0,3.6698787880595773e-05
real,0.75,high,bv,0.5,learned-warped-bv-c0.5,11,4000,1000,0,5.5570162658113986e-05
real,0.75,high,bv,0.5,learned-warped-bv-c0.5,12,4000,1000,0,4.1827792301774025e-05
real,0.75,high,bv,0.5,learned-warped-bv-c0.5,13,4000,1000,0,5.492983837029897e-05
real,0.75,high,bv,0.5,learned-warped-bv-c0.5,14,4000,1000,0,5.744579902966507e-05
real,0.75,high,bv,0.5,learned-warped-bv-c0.5,15,4000,1000,0,4.155801798333414e-05
real,0.75,high,bv,0.5,learned-warped-bv-c0.5,16,4000,1000,0,4.238753899699077e-05
real,0.75,high,bv,0.5,learned-warped-bv-c0.5,17,4000,1000,0,2.9613964215968736e-05
real,0.75,high,bv,0.5,learned-warped-bv-c0.5,18,4000,1000,0,3.6909750633640215e-05
