method,init_id,initial_free_coordinate,final_free_coordinate,final_distance_to_min_norm,final_residual,z1,z2,z3,z4
plain-FBHF,0,-3.0,-3.0,3.0,6.847709035596808e-75,-3.796043870433906e-75,-1.807210200018702e-74,4.601248039804207e-251,-3.0
Halpern-FBHF,0,-3.0,-0.0009996667777407522,0.0009996667777407522,2.2818090755071065e-78,-1.2649263147063608e-78,-6.022026657843085e-78,1.5332382671790105e-254,-0.0009996667777407522
plain-FBHF,1,-1.0,-1.0,1.0,8.92832024299816e-75,1.6826119657608196e-74,1.7222081490902135e-74,0.0,-1.0
Halpern-FBHF,1,-1.0,-0.00033322225924691944,0.00033322225924691944,2.9751150426518606e-78,5.606837606667198e-78,5.738780903333007e-78,0.0,-0.00033322225924691944
plain-FBHF,2,1.0,1.0,1.0,6.624959427640145e-75,1.6893692655727588e-74,-5.812854355638838e-75,2.3006240199021034e-251,1.0
Halpern-FBHF,2,1.0,0.00033322225924691944,0.00033322225924691944,2.2075839478974144e-78,5.629354433764603e-78,-1.9369724610592575e-78,7.666191335895053e-255,0.00033322225924691944
plain-FBHF,3,3.0,3.0,3.0,6.847709035596845e-75,-1.2180055277889422e-74,1.3880096296459342e-74,6.901872059706326e-251,3.0
Halpern-FBHF,3,3.0,0.0009996667777407522,0.0009996667777407522,2.2818090755070964e-78,-4.058665537450643e-78,4.625157046470909e-78,2.2998574007685264e-254,0.0009996667777407522
