scenario,learned_over_fixed,learned_over_line_search
small blur,0.5134342173975325,6.655998933589681
wide blur,0.6340323947316626,0.08813889397837471
"motion
Gaussian-trained",0.3269797975503065,80.33623389412787
low noise,0.665157172263694,0.1883796960682164
high noise,0.5537223562205343,0.1394569149438951
"motion
motion-trained",0.0023987098266450716,0.5893431799799607
