method,mean_rel_error,std_rel_error,median_rel_error,mean_merit,wall_time,dominant_B_calls
plain-FBHF,0.7927433252334595,0.008969565853476524,0.7926303148269653,0.15884917974472046,1.3681680262088776,600.0
fixed-warped-FBHF,0.0018832224886864424,7.349266525125131e-05,0.0018910111393779516,0.0001418343890691176,1.3696720153093338,600.0
Tseng-FBF,0.8284459710121155,0.00783395953476429,0.8283227682113647,0.17404243350028992,0.32817918062210083,600.0
extragradient,0.8284470438957214,0.007833783514797688,0.828323483467102,0.17415520548820496,0.32274188101291656,600.0
FRB,0.8863924741744995,0.005768475588411093,0.8865114450454712,0.2014119029045105,0.17550991475582123,301.0
learned-warped-FBHF,0.0018863591831177473,7.386728248093277e-05,0.0018929245416074991,0.00014412341988645494,1.6835211515426636,600.125
