iter,loss,val_learned,val_fixed,saved
1,10.84451675415039,9.931564331054688,9.467708587646484,True
100,10.577404022216797,9.399950981140137,9.467708587646484,True
200,11.112076759338379,9.399652481079102,9.467708587646484,True
300,8.79539966583252,9.399557113647461,9.467708587646484,True
400,11.135199546813965,9.399555206298828,9.467708587646484,True
500,10.712291717529297,9.399554252624512,9.467708587646484,True
600,9.301210403442383,9.399554252624512,9.467708587646484,False
700,9.692545890808105,9.399554252624512,9.467708587646484,False
800,9.108146667480469,9.399553298950195,9.467708587646484,True
900,8.685901641845703,9.399553298950195,9.467708587646484,False
1000,10.414029121398926,9.399553298950195,9.467708587646484,False
1100,9.371326446533203,9.399553298950195,9.467708587646484,False
1200,9.81003475189209,9.399554252624512,9.467708587646484,False
1300,10.058420181274414,9.399553298950195,9.467708587646484,False
1400,10.697025299072266,9.399554252624512,9.467708587646484,False
1500,9.494288444519043,9.399553298950195,9.467708587646484,False
