method,image_index,rel_primal_error_K,oracle_K
certified-fixed,58,0.0003537809825502336,4000
certified-fixed,59,0.0002186524507123977,4000
certified-fixed,60,0.000304552901070565,4000
certified-fixed,61,0.00016791997768450528,4000
certified-fixed,62,0.0005635374109260738,4000
certified-fixed,63,0.0004789003578480333,4000
certified-learned,0,0.001277864328585565,4000
certified-learned,1,0.00019513335428200662,4000
certified-learned,2,7.394308340735734e-05,4000
certified-learned,3,7.28000231902115e-05,4000
certified-learned,4,0.0002456128131598234,4000
certified-learned,5,5.407836215454154e-05,4000
certified-learned,6,6.519423914141953e-05,4000
certified-learned,7,0.0001435185840819031,4000
certified-learned,8,0.0004851892590522766,4000
certified-learned,9,9.716203203424811e-05,4000
certified-learned,10,0.00019049944239668548,4000
certified-learned,11,8.118870755424723e-05,4000
certified-learned,12,9.209557174472138e-05,4000
certified-learned,13,0.00031842064345255494,4000
certified-learned,14,0.00021428975742310286,4000
certified-learned,15,8.510411862516776e-05,4000
certified-learned,16,0.0004396297154016793,4000
certified-learned,17,0.00016743580636102706,4000
certified-learned,18,0.00021950660448055714,4000
certified-learned,19,6.30873764748685e-05,4000
certified-learned,20,4.1737250285223126e-05,4000
certified-learned,21,0.00011188321514055133,4000
certified-learned,22,4.2355521145509556e-05,4000
certified-learned,23,0.00020909699378535151,4000
certified-learned,24,5.170730946701951e-05,4000
certified-learned,25,0.00010131355520570651,4000
certified-learned,26,0.00024995653075166047,4000
certified-learned,27,0.00021708436543121934,4000
certified-learned,28,0.000666774227283895,4000
certified-learned,29,0.00014177012781146914,4000
certified-learned,30,0.0003462950699031353,4000
certified-learned,31,0.00014078350795898587,4000
certified-learned,32,0.00013184017734602094,4000
certified-learned,33,0.000500037451274693,4000
certified-learned,34,0.00012563419295474887,4000
certified-learned,35,0.0005591832450591028,4000
certified-learned,36,9.19134690775536e-05,4000
certified-learned,37,7.299290882656351e-05,4000
certified-learned,38,0.0001901929354062304,4000
certified-learned,39,0.00010245376324746758,4000
certified-learned,40,0.0006970308604650199,4000
certified-learned,41,0.0005558175034821033,4000
certified-learned,42,0.00039603558252565563,4000
certified-learned,43,3.25869295920711e-05,4000
certified-learned,44,0.00044472995796240866,4000
certified-learned,45,6.130066321929917e-05,4000
